ID;11;12;13;14;15;16;17;18;19;20
SEhs01;2;3;2;3;2;3;3;3;3;2
SEhs02;2;2;3;3;3;3;2;3;3;3
SEhs03;2;3;3;3;3;3;3;2;3;2
SEhs04;2;3;2;2;3;3;3;3;2;3
SEhs05;2;2;1;3;2;2;2;2;2;2
SEhs06;3;3;2;2;2;3;2;2;2;2
SEhs07;2;3;3;3;3;2;3;3;3;3
SEhs08;4;4;4;4;3;4;4;4;3;3
SEhs09;2;1;4;1;1;2;3;4;2;3
SEhs10;3;3;2;3;2;4;3;2;3;4
SEhs11;2;3;4;2;3;2;2;2;3;4
SEhs12;3;3;3;4;4;3;3;3;3;3
SEhs13;2;3;3;2;1;3;4;3;3;2
SEhs14;2;3;3;2;1;3;4;3;3;2
SEhs15;2;4;3;3;3;3;4;2;3;3
SEhs16;2;1;4;1;1;2;3;4;2;3
SEhs17;2;3;2;3;2;4;4;1;1;4
SEhs18;2;4;3;4;4;4;3;3;4;4
SEhs19;2;3;2;3;2;3;3;3;3;2
SEhs20;3;4;3;4;3;4;4;4;4;4
SEhs21;3;3;3;4;4;3;2;3;2;3
SEhs22;3;3;2;3;2;3;3;4;4;3
SEhs23;3;4;3;3;3;4;2;3;4;4
SEhs24;4;3;3;3;3;3;3;3;3;4
SEhs25;3;3;2;2;2;3;3;2;3;3
SEhs26;3;2;2;3;2;3;2;3;3;3
SEhs27;3;2;2;3;2;3;2;3;3;3
SEhs28;3;3;3;3;2;3;4;4;3;4
SEhs29;3;3;4;3;3;3;3;3;3;2
SEhs30;2;4;3;4;3;3;3;1;4;3
SEhs31;2;3;3;3;3;3;2;3;3;3
SEhs32;3;3;4;3;4;3;2;3;3;4
SEhs33;3;2;3;3;2;3;3;2;3;2
SEhs34;3;2;2;3;2;3;2;3;3;2
SEhs35;4;4;3;3;4;4;3;3;3;3
SEhs36;3;3;2;2;1;3;3;3;3;3
SEhs37;3;3;3;3;2;3;4;4;3;4
SEhs38;3;2;2;4;1;4;3;2;2;3
SEhs39;2;2;2;3;3;2;3;2;3;3
SEhs40;3;4;3;3;3;4;3;3;4;3
SEhs41;3;2;3;2;2;3;4;3;4;3
SEhs42;2;3;3;3;2;2;3;3;2;3
SEhs43;4;2;2;3;3;2;2;3;2;2
SEhs44;4;3;3;4;4;2;3;4;3;3
SEhs45;3;2;2;3;2;3;3;4;2;3
SEhs46;4;3;3;4;4;3;4;4;3;4
SEhs47;2;2;3;2;2;3;3;2;2;3
SEhs48;2;2;2;4;4;3;2;2;2;3
SEhs49;4;4;4;3;3;2;4;4;3;4
SEhs50;3;3;2;3;3;3;2;3;3;3
SEhs51;3;3;4;3;4;2;2;3;3;2
SEhs52;4;4;4;4;4;4;4;4;4;4
SEhs53;3;2;2;3;2;3;2;2;3;4
SEhs54;2;4;3;3;4;2;2;2;2;3
SEhs55;4;3;3;2;2;3;2;3;4;3
SEhs56;4;3;3;4;4;2;2;2;3;4
SEhs57;3;3;2;3;4;3;3;3;4;3
SEhs58;4;4;2;3;4;4;4;2;3;2
SEhs59;4;3;3;4;4;3;3;2;3;4
SEhs60;4;4;2;4;3;2;3;3;3;3
SEhs61;3;4;3;3;3;2;3;2;3;2
SEhs62;2;2;3;3;3;2;2;2;2;2
SEhs63;3;3;3;2;3;2;2;3;2;3
SEhs64;3;3;2;1;2;2;2;3;2;2
SEhs65;4;4;3;3;3;3;3;4;4;3
SEhs66;2;2;3;2;2;2;2;2;3;2
SEhs67;4;4;3;4;3;3;2;2;3;4
SEhs68;2;4;4;3;2;3;3;2;4;3
SEhs69;4;4;3;3;3;4;3;3;3;2
SEhs70;3;3;3;4;3;3;4;3;3;3
SEhs71;3;3;3;3;3;3;3;3;3;3
SEhs72;3;2;3;3;2;4;3;3;3;3
SEhs73;3;3;3;3;3;3;3;4;4;3
SEhs74;4;3;2;4;3;3;2;2;3;3
SEhs75;4;4;4;4;4;3;3;4;4;3
SEhs76;4;3;3;4;4;3;4;3;4;4
SEhs77;3;4;3;2;3;3;2;2;4;4
SEhs78;2;3;3;2;2;2;3;3;3;2
SEhs79;3;4;4;3;3;3;3;3;3;4
SEhs80;2;3;3;2;2;3;2;3;3;3
FEhs01;2;2;2;2;3;2;2;2;2;2
FEhs02;3;3;3;3;3;3;4;3;4;3
FEhs03;2;3;3;3;3;3;3;2;3;2
FEhs04;2;2;2;2;2;2;2;2;1;2
FEhs05;2;2;2;3;2;2;2;2;2;2
FEhs06;2;2;2;2;2;2;2;2;2;2
FEhs07;2;2;2;2;2;2;2;2;2;2
FEhs08;3;2;2;2;2;3;3;3;3;3
FEhs09;2;2;2;3;2;2;2;2;2;2
FEhs10;2;2;2;3;3;3;3;3;3;3
FEhs11;2;2;3;2;2;3;3;3;3;3
FEhs12;3;3;3;3;3;3;3;3;4;3
FEhs13;3;3;3;3;3;3;3;3;4;3
FEhs14;2;2;2;3;2;2;2;2;2;2
FEhs15;2;2;2;3;2;2;2;2;2;2
FEhs16;2;2;2;3;2;2;2;2;2;2
FEhs17;2;2;2;3;2;2;2;2;2;2
FEhs18;3;4;4;3;3;4;3;3;3;3
FEhs19;2;2;2;2;3;2;2;2;2;2
FEhs20;2;3;2;2;2;2;2;2;2;3
FEhs21;2;3;3;2;2;2;2;2;3;3
FEhs22;3;3;2;3;2;3;3;4;4;3
FEhs23;3;4;3;3;3;4;2;3;4;4
FEhs24;4;3;4;3;4;4;3;3;4;3
FEhs25;4;4;4;4;4;4;3;3;4;3
FEhs26;4;4;4;3;4;4;3;3;4;3
FEhs27;3;3;3;3;3;3;3;3;3;3
FEhs28;4;3;3;3;3;3;3;2;3;4
FEhs29;3;3;4;3;3;3;3;3;3;3
FEhs30;2;4;3;4;3;3;3;1;4;3
FEhs31;2;3;3;3;3;3;2;3;3;3
FEhs32;3;3;4;3;4;3;2;3;3;4
FEhs33;3;3;3;3;3;3;3;3;3;3
FEhs34;3;2;2;3;2;3;2;3;3;2
FEhs35;3;3;3;4;2;3;3;2;3;3
FEhs36;3;3;2;2;1;3;3;3;3;3
FEhs37;4;3;3;3;3;3;3;2;3;4
FEhs38;2;3;1;3;2;3;2;2;3;3
FEhs39;3;4;3;3;3;4;3;3;3;3
FEhs40;3;3;4;3;3;4;4;3;3;3
FEhs41;3;3;3;3;3;4;3;3;3;3
FEhs42;2;3;3;4;2;3;1;1;3;3
FEhs43;2;3;2;3;1;2;2;2;3;3
FEhs44;2;2;1;3;1;2;1;1;1;1
FEhs45;2;3;3;2;2;3;2;3;3;3
FEhs46;4;4;4;4;4;4;4;4;4;4
FEhs47;3;3;3;3;3;3;3;3;3;3
FEhs48;3;3;4;3;4;4;3;3;4;3
FEhs49;4;3;3;4;4;4;4;4;4;4
FEhs50;3;3;4;3;3;4;3;3;3;3
FEhs51;3;4;4;4;3;4;3;3;4;4
FEhs52;3;3;4;3;4;4;3;3;4;3
FEhs53;3;4;4;4;3;4;3;3;4;4
FEhs54;3;3;4;3;4;4;3;3;4;3
FEhs55;4;3;3;4;3;4;4;4;4;4
FEhs56;4;4;3;3;4;3;4;4;4;4
FEhs57;4;4;4;3;4;4;4;3;4;4
FEhs58;3;3;3;3;4;4;3;3;4;3
FEhs59;2;3;2;3;2;3;2;2;3;2
FEhs60;3;3;3;3;3;4;3;3;3;3
FEhs61;4;3;4;3;3;4;3;3;3;3
FEhs62;4;3;4;4;3;4;4;4;4;4
FEhs63;4;4;4;3;3;4;3;3;3;3
FEhs64;4;4;4;4;4;4;4;4;4;4
FEhs65;4;4;4;4;3;4;4;4;4;4
FEhs66;4;3;4;4;4;4;3;4;4;4
FEhs67;4;4;4;4;3;4;3;4;4;4
FEhs68;4;4;4;4;4;4;4;3;4;3
FEhs69;4;4;4;4;4;4;4;4;4;4
FEhs70;4;4;4;3;4;4;4;3;4;3
FEhs71;2;3;2;3;2;3;3;3;3;3
FEhs72;3;3;2;3;2;3;3;3;3;3
FEhs73;4;3;4;3;4;4;4;3;3;3
FEhs74;4;4;4;3;4;4;3;3;4;3
FEhs75;4;4;4;4;4;4;4;4;4;4
FEhs76;4;4;4;3;4;4;4;3;4;4
FEhs77;4;4;4;4;4;4;4;3;4;3
FEhs78;4;3;4;4;4;4;4;4;4;4
FEhs79;4;4;4;4;4;4;4;3;4;4
FEhs80;4;4;4;4;4;4;4;4;4;4
SEfs01;3;3;3;3;3;3;3;3;4;3
SEfs02;3;3;3;3;3;3;3;3;2;3
SEfs03;3;2;2;3;4;3;3;3;3;3
SEfs04;3;2;3;3;3;4;3;2;4;3
SEfs05;3;2;4;3;4;4;3;4;4;3
SEfs06;3;3;3;4;2;2;2;3;4;2
SEfs07;3;3;2;2;4;2;2;1;2;2
SEfs08;1;2;2;3;2;4;4;1;3;2
SEfs09;3;3;3;4;4;4;3;3;4;4
SEfs10;3;4;4;2;4;4;3;4;3;4
SEfs11;2;2;1;1;4;2;1;4;2;2
SEfs12;3;3;4;3;2;2;3;3;3;3
SEfs13;2;2;4;4;3;1;2;4;4;4
SEfs14;3;2;2;3;4;3;3;3;3;3
SEfs15;1;1;2;1;2;4;2;3;4;2
SEfs16;2;3;3;3;2;1;3;4;3;3
SEfs17;2;2;2;2;3;3;2;3;2;4
SEfs18;2;2;2;2;2;2;3;3;3;3
SEfs19;2;2;3;3;3;4;2;3;2;2
SEfs20;2;4;4;4;4;4;2;4;4;4
SEfs21;3;3;3;2;3;4;3;4;2;3
SEfs22;2;2;4;4;4;2;2;1;4;4
SEfs23;2;3;2;1;2;3;2;1;2;3
SEfs24;3;3;3;4;4;3;4;3;3;4
SEfs25;4;4;4;3;3;4;3;3;4;3
SEfs26;3;4;2;4;4;4;3;3;4;2
SEfs27;3;2;4;2;4;1;3;2;1;2
SEfs28;3;4;3;3;2;3;2;3;2;3
SEfs29;2;3;2;3;3;2;3;2;3;3
SEfs30;2;3;4;1;2;4;2;2;1;1
SEfs31;2;2;1;3;3;2;2;4;4;4
SEfs32;2;2;2;3;2;4;2;3;2;3
SEfs33;2;2;2;2;2;2;2;2;2;2
SEfs34;3;3;3;2;4;3;2;4;3;4
SEfs35;2;1;2;3;1;3;3;2;3;4
SEfs36;2;3;2;3;3;1;2;2;2;2
SEfs37;1;4;1;4;3;4;3;1;4;3
SEfs38;2;3;2;3;3;3;2;3;2;2
SEfs39;1;3;3;3;3;3;3;2;3;4
SEfs40;2;3;4;3;2;4;2;3;4;4
FEfs01;3;3;3;2;3;2;3;2;2;2
FEfs02;2;3;3;3;2;3;2;2;2;2
FEfs03;2;2;2;2;3;3;2;2;2;3
FEfs04;3;2;2;2;2;2;2;2;1;2
FEfs05;1;2;1;2;1;1;2;2;2;2
FEfs06;2;3;3;3;2;3;3;2;2;2
FEfs07;1;2;2;2;2;3;2;2;2;2
FEfs08;3;3;3;2;3;3;3;2;3;2
FEfs09;4;3;4;3;3;3;4;3;3;3
FEfs10;2;2;2;2;2;3;2;2;2;2
FEfs11;2;2;2;1;2;3;1;1;2;2
FEfs12;2;3;3;2;2;3;2;2;2;2
FEfs13;3;2;2;3;2;3;3;2;3;2
FEfs14;2;2;2;2;3;3;2;2;2;3
FEfs15;3;3;3;2;3;3;3;3;3;2
FEfs16;1;2;2;2;1;2;2;2;3;2
FEfs17;4;3;3;3;3;4;3;3;3;3
FEfs18;3;3;3;3;3;3;2;2;3;3
FEfs19;3;3;3;2;2;4;3;2;3;3
FEfs20;2;2;2;2;2;2;2;2;2;2
FEfs21;2;2;2;2;3;3;2;2;2;3
FEfs22;2;3;2;2;2;3;2;2;3;2
FEfs23;2;2;2;2;2;2;2;2;2;2
FEfs24;2;3;3;2;3;3;2;2;3;3
FEfs25;2;2;2;2;2;2;2;2;2;2
FEfs26;1;2;1;2;2;1;2;2;2;2
FEfs27;2;2;2;2;2;2;2;2;3;2
FEfs28;1;2;2;2;2;2;2;2;3;2
FEfs29;3;3;3;3;3;4;3;3;3;3
FEfs30;3;3;3;3;3;3;3;2;2;3
FEfs31;2;2;2;2;2;2;2;2;2;2
FEfs32;2;2;2;2;2;2;2;2;2;2
FEfs33;2;2;2;2;2;2;2;2;2;2
FEfs34;3;3;3;2;3;3;2;3;3;3
FEfs35;3;3;3;2;3;3;3;2;3;3
FEfs36;1;2;2;2;1;2;2;2;2;2
FEfs37;2;1;1;2;1;2;2;2;2;2
FEfs38;2;2;2;2;2;2;2;2;3;3
FEfs39;3;3;2;2;2;2;2;2;3;2
FEfs40;2;3;3;3;3;3;3;2;3;2
