Beobachtung;Art;AV;LV;SV;FK
SEhs01;SEhs;28;26;19;17
SEhs02;SEhs;24;27;23;15
SEhs03;SEhs;30;27;22;17
SEhs04;SEhs;26;26;25;20
SEhs05;SEhs;24;20;20;19
SEhs06;SEhs;25;23;22;19
SEhs07;SEhs;32;28;29;22
SEhs08;SEhs;37;37;25;19
SEhs09;SEhs;28;23;16;21
SEhs10;SEhs;27;29;24;21
SEhs11;SEhs;27;27;26;20
SEhs12;SEhs;32;32;24;26
SEhs13;SEhs;25;26;24;22
SEhs14;SEhs;25;26;24;22
SEhs15;SEhs;34;30;26;25
SEhs16;SEhs;28;23;16;21
SEhs17;SEhs;23;26;25;22
SEhs18;SEhs;33;35;29;21
SEhs19;SEhs;28;26;19;17
SEhs20;SEhs;35;37;32;29
SEhs21;SEhs;26;30;25;18
SEhs22;SEhs;29;30;26;23
SEhs23;SEhs;31;33;27;16
SEhs24;SEhs;34;32;30;20
SEhs25;SEhs;27;26;20;21
SEhs26;SEhs;30;26;28;24
SEhs27;SEhs;30;26;28;24
SEhs28;SEhs;32;32;29;30
SEhs29;SEhs;29;30;30;23
SEhs30;SEhs;36;30;24;21
SEhs31;SEhs;30;28;27;25
SEhs32;SEhs;29;32;27;19
SEhs33;SEhs;26;26;25;18
SEhs34;SEhs;24;25;28;16
SEhs35;SEhs;35;34;25;17
SEhs36;SEhs;25;26;20;18
SEhs37;SEhs;32;32;29;30
SEhs38;SEhs;25;26;18;21
SEhs39;SEhs;29;25;25;17
SEhs40;SEhs;37;33;29;24
SEhs41;SEhs;29;29;28;19
SEhs42;SEhs;21;26;20;22
SEhs43;SEhs;25;25;19;18
SEhs44;SEhs;24;33;20;24
SEhs45;SEhs;28;27;23;25
SEhs46;SEhs;37;36;25;24
SEhs47;SEhs;25;24;21;19
SEhs48;SEhs;31;26;29;22
SEhs49;SEhs;37;35;23;29
SEhs50;SEhs;34;28;29;29
SEhs51;SEhs;27;29;23;20
SEhs52;SEhs;38;40;26;27
SEhs53;SEhs;24;26;26;20
SEhs54;SEhs;26;27;26;19
SEhs55;SEhs;32;29;24;23
SEhs56;SEhs;31;31;26;22
SEhs57;SEhs;32;31;27;21
SEhs58;SEhs;34;32;28;22
SEhs59;SEhs;32;33;26;24
SEhs60;SEhs;32;31;27;26
SEhs61;SEhs;30;28;26;23
SEhs62;SEhs;27;23;25;14
SEhs63;SEhs;27;26;22;23
SEhs64;SEhs;23;22;24;16
SEhs65;SEhs;31;34;26;25
SEhs66;SEhs;24;22;20;19
SEhs67;SEhs;29;32;24;25
SEhs68;SEhs;28;30;24;19
SEhs69;SEhs;31;32;26;21
SEhs70;SEhs;30;32;27;25
SEhs71;SEhs;32;30;27;25
SEhs72;SEhs;31;29;26;24
SEhs73;SEhs;32;32;26;23
SEhs74;SEhs;27;29;22;16
SEhs75;SEhs;35;37;30;21
SEhs76;SEhs;34;36;31;28
SEhs77;SEhs;26;30;23;15
SEhs78;SEhs;24;25;22;15
SEhs79;SEhs;32;33;26;23
SEhs80;SEhs;27;26;21;20
FEhs01;FEhs;21;21;23;16
FEhs02;FEhs;33;32;24;17
FEhs03;FEhs;30;27;22;17
FEhs04;FEhs;16;19;17;15
FEhs05;FEhs;20;21;23;15
FEhs06;FEhs;23;20;21;16
FEhs07;FEhs;21;20;23;16
FEhs08;FEhs;31;26;19;17
FEhs09;FEhs;20;21;24;16
FEhs10;FEhs;27;27;21;17
FEhs11;FEhs;27;26;24;17
FEhs12;FEhs;29;31;29;18
FEhs13;FEhs;29;31;29;18
FEhs14;FEhs;20;21;24;16
FEhs15;FEhs;20;21;24;16
FEhs16;FEhs;20;21;24;16
FEhs17;FEhs;20;21;24;16
FEhs18;FEhs;33;33;27;17
FEhs19;FEhs;21;21;23;16
FEhs20;FEhs;23;22;23;16
FEhs21;FEhs;25;24;21;16
FEhs22;FEhs;29;30;26;16
FEhs23;FEhs;31;33;27;21
FEhs24;FEhs;37;35;31;17
FEhs25;FEhs;38;37;29;17
FEhs26;FEhs;38;36;16;16
FEhs27;FEhs;32;30;23;16
FEhs28;FEhs;31;31;25;17
FEhs29;FEhs;29;31;24;16
FEhs30;FEhs;36;30;24;21
FEhs31;FEhs;30;28;27;16
FEhs32;FEhs;30;32;23;16
FEhs33;FEhs;32;30;27;17
FEhs34;FEhs;24;25;28;16
FEhs35;FEhs;28;29;25;21
FEhs36;FEhs;26;26;24;16
FEhs37;FEhs;31;31;25;17
FEhs38;FEhs;22;24;32;20
FEhs39;FEhs;33;32;29;16
FEhs40;FEhs;33;33;28;17
FEhs41;FEhs;32;31;28;17
FEhs42;FEhs;24;25;32;14
FEhs43;FEhs;20;23;32;14
FEhs44;FEhs;14;15;32;16
FEhs45;FEhs;29;26;22;16
FEhs46;FEhs;39;40;32;18
FEhs47;FEhs;27;30;16;16
FEhs48;FEhs;34;34;30;17
FEhs49;FEhs;39;38;32;18
FEhs50;FEhs;30;32;26;17
FEhs51;FEhs;34;36;32;20
FEhs52;FEhs;31;34;29;17
FEhs53;FEhs;34;36;32;14
FEhs54;FEhs;32;34;30;17
FEhs55;FEhs;36;37;32;18
FEhs56;FEhs;36;37;32;17
FEhs57;FEhs;36;38;32;17
FEhs58;FEhs;31;33;24;17
FEhs59;FEhs;26;24;19;16
FEhs60;FEhs;36;31;26;17
FEhs61;FEhs;33;33;28;17
FEhs62;FEhs;37;38;32;17
FEhs63;FEhs;33;34;25;17
FEhs64;FEhs;40;40;32;17
FEhs65;FEhs;39;39;32;17
FEhs66;FEhs;39;38;32;17
FEhs67;FEhs;39;38;31;17
FEhs68;FEhs;38;38;32;17
FEhs69;FEhs;38;40;32;17
FEhs70;FEhs;35;37;25;17
FEhs71;FEhs;28;27;22;17
FEhs72;FEhs;28;28;24;17
FEhs73;FEhs;35;35;27;17
FEhs74;FEhs;33;36;29;17
FEhs75;FEhs;36;40;32;17
FEhs76;FEhs;38;38;32;17
FEhs77;FEhs;36;38;29;17
FEhs78;FEhs;40;39;32;17
FEhs79;FEhs;38;39;32;17
FEhs80;FEhs;40;40;31;17
SEfs01;SEfs;28;31;28;20
SEfs02;SEfs;30;29;27;23
SEfs03;SEfs;30;29;18;22
SEfs04;SEfs;30;30;31;25
SEfs05;SEfs;34;34;28;27
SEfs06;SEfs;31;28;21;24
SEfs07;SEfs;32;23;16;18
SEfs08;SEfs;33;24;23;20
SEfs09;SEfs;37;35;28;28
SEfs10;SEfs;31;35;24;22
SEfs11;SEfs;30;21;24;21
SEfs12;SEfs;29;29;23;18
SEfs13;SEfs;34;30;26;23
SEfs14;SEfs;30;29;18;22
SEfs15;SEfs;26;22;22;19
SEfs16;SEfs;33;27;24;22
SEfs17;SEfs;24;25;22;20
SEfs18;SEfs;26;24;24;23
SEfs19;SEfs;26;26;26;17
SEfs20;SEfs;38;36;28;25
SEfs21;SEfs;27;30;29;24
SEfs22;SEfs;33;29;28;25
SEfs23;SEfs;29;21;18;18
SEfs24;SEfs;33;34;28;27
SEfs25;SEfs;37;35;28;26
SEfs26;SEfs;32;33;22;23
SEfs27;SEfs;25;24;24;20
SEfs28;SEfs;33;28;21;24
SEfs29;SEfs;30;26;26;16
SEfs30;SEfs;21;22;24;16
SEfs31;SEfs;17;27;19;18
SEfs32;SEfs;30;25;21;19
SEfs33;SEfs;20;20;24;15
SEfs34;SEfs;36;31;30;24
SEfs35;SEfs;33;24;27;26
SEfs36;SEfs;29;22;22;15
SEfs37;SEfs;28;28;20;16
SEfs38;SEfs;31;25;28;19
SEfs39;SEfs;32;28;24;23
SEfs40;SEfs;25;31;26;24
FEfs01;FEfs;26;25;20;16
FEfs02;FEfs;20;24;19;16
FEfs03;FEfs;24;23;19;16
FEfs04;FEfs;26;20;20;16
FEfs05;FEfs;18;16;15;15
FEfs06;FEfs;28;25;19;16
FEfs07;FEfs;22;20;18;16
FEfs08;FEfs;26;27;16;16
FEfs09;FEfs;35;33;25;17
FEfs10;FEfs;27;21;21;17
FEfs11;FEfs;19;18;18;15
FEfs12;FEfs;24;23;18;16
FEfs13;FEfs;24;25;16;16
FEfs14;FEfs;24;23;19;16
FEfs15;FEfs;31;28;25;17
FEfs16;FEfs;21;19;22;16
FEfs17;FEfs;34;32;20;17
FEfs18;FEfs;25;28;24;17
FEfs19;FEfs;29;28;25;16
FEfs20;FEfs;20;20;24;16
FEfs21;FEfs;22;23;16;16
FEfs22;FEfs;23;23;22;16
FEfs23;FEfs;24;20;24;16
FEfs24;FEfs;27;26;21;16
FEfs25;FEfs;20;20;24;16
FEfs26;FEfs;19;17;18;16
FEfs27;FEfs;20;21;24;16
FEfs28;FEfs;21;20;20;16
FEfs29;FEfs;31;31;27;17
FEfs30;FEfs;28;28;19;16
FEfs31;FEfs;20;20;24;17
FEfs32;FEfs;20;20;24;15
FEfs33;FEfs;20;20;24;15
FEfs34;FEfs;29;28;25;16
FEfs35;FEfs;27;28;24;16
FEfs36;FEfs;19;18;21;16
FEfs37;FEfs;20;17;17;16
FEfs38;FEfs;20;22;24;16
FEfs39;FEfs;26;23;17;16
FEfs40;FEfs;32;27;22;17
