ID;21;22;23;24;25;26;27;28
SEhs01;2;3;3;2;3;2;2;2
SEhs02;3;3;3;3;3;2;3;3
SEhs03;3;3;3;3;3;2;2;3
SEhs04;3;4;3;3;4;2;2;4
SEhs05;4;3;2;3;2;2;2;2
SEhs06;3;3;2;4;3;2;2;3
SEhs07;3;4;4;4;4;3;3;4
SEhs08;4;4;4;4;2;1;3;3
SEhs09;2;1;3;4;3;1;1;1
SEhs10;3;3;3;4;3;2;3;3
SEhs11;4;4;4;4;3;2;3;2
SEhs12;3;3;4;3;3;3;2;3
SEhs13;3;3;4;3;3;2;3;3
SEhs14;3;3;4;3;3;2;3;3
SEhs15;4;4;4;3;4;2;2;3
SEhs16;2;1;3;4;3;1;1;1
SEhs17;4;4;3;3;3;3;3;2
SEhs18;3;4;4;3;4;4;4;3
SEhs19;2;3;3;2;3;2;2;2
SEhs20;4;4;4;4;4;4;4;4
SEhs21;4;4;2;3;3;3;4;2
SEhs22;3;3;4;3;4;3;3;3
SEhs23;4;4;4;4;3;2;3;3
SEhs24;4;4;4;4;3;4;4;3
SEhs25;3;3;3;3;2;3;1;2
SEhs26;4;3;4;4;4;3;3;3
SEhs27;4;3;4;4;4;3;3;3
SEhs28;4;4;3;3;3;4;4;4
SEhs29;4;4;3;4;4;3;4;4
SEhs30;3;4;2;3;2;3;3;4
SEhs31;4;3;3;4;3;3;4;3
SEhs32;4;4;4;4;4;3;1;3
SEhs33;3;4;3;4;3;3;2;3
SEhs34;4;4;3;4;3;3;4;3
SEhs35;3;3;3;4;3;3;3;3
SEhs36;2;3;3;3;3;2;2;2
SEhs37;4;4;3;3;3;4;4;4
SEhs38;1;2;2;2;3;4;2;2
SEhs39;3;4;3;3;3;3;3;3
SEhs40;4;4;4;4;4;3;3;3
SEhs41;4;4;4;4;4;3;3;2
SEhs42;2;3;2;3;2;3;2;3
SEhs43;3;3;2;2;2;3;2;2
SEhs44;2;2;4;1;2;4;2;3
SEhs45;3;3;2;4;3;2;3;3
SEhs46;4;2;3;3;4;3;3;3
SEhs47;3;3;2;4;3;2;2;2
SEhs48;4;4;4;3;3;4;4;3
SEhs49;3;3;3;3;3;2;3;3
SEhs50;4;4;4;4;4;3;3;3
SEhs51;2;3;2;3;3;3;4;3
SEhs52;3;4;2;4;4;3;3;3
SEhs53;4;4;4;4;3;3;2;2
SEhs54;4;2;2;3;4;3;4;4
SEhs55;4;4;3;3;2;3;3;2
SEhs56;4;4;3;4;3;3;3;2
SEhs57;4;3;4;3;4;3;3;3
SEhs58;4;4;3;4;4;4;3;2
SEhs59;4;4;3;3;4;4;2;2
SEhs60;4;3;4;3;3;3;4;3
SEhs61;4;3;4;3;3;3;2;4
SEhs62;4;3;3;3;3;3;3;3
SEhs63;3;3;2;2;3;4;2;3
SEhs64;3;4;3;4;3;3;2;2
SEhs65;3;4;3;4;4;3;3;2
SEhs66;3;3;3;3;2;2;2;2
SEhs67;3;4;2;4;3;4;2;2
SEhs68;4;4;2;2;3;2;3;4
SEhs69;4;3;3;4;4;3;2;3
SEhs70;4;4;3;4;4;3;2;3
SEhs71;4;4;4;3;3;3;3;3
SEhs72;4;3;3;3;4;3;2;4
SEhs73;4;4;3;3;3;3;3;3
SEhs74;4;4;3;3;3;2;1;2
SEhs75;4;4;4;4;4;4;3;3
SEhs76;4;4;4;4;4;3;4;4
SEhs77;4;3;2;4;3;1;2;4
SEhs78;3;3;3;3;3;3;2;2
SEhs79;3;3;3;4;3;4;3;3
SEhs80;3;3;2;3;3;2;2;3
FEhs01;2;3;3;3;3;3;3;3
FEhs02;3;3;3;3;3;3;3;3
FEhs03;3;3;3;3;3;2;2;3
FEhs04;3;3;1;2;2;2;2;2
FEhs05;2;3;3;3;3;3;3;3
FEhs06;3;3;3;3;3;2;2;2
FEhs07;3;3;3;3;3;3;3;2
FEhs08;3;3;2;3;2;2;2;2
FEhs09;3;3;3;3;3;3;3;3
FEhs10;3;3;3;3;3;2;2;2
FEhs11;3;3;3;3;3;3;3;3
FEhs12;4;4;4;4;4;3;3;3
FEhs13;4;4;4;4;4;3;3;3
FEhs14;3;3;3;3;3;3;3;3
FEhs15;3;3;3;3;3;3;3;3
FEhs16;3;3;3;3;3;3;3;3
FEhs17;3;3;3;3;3;3;3;3
FEhs18;3;3;3;4;4;3;3;4
FEhs19;2;3;3;3;3;3;3;3
FEhs20;2;3;2;4;3;3;3;3
FEhs21;2;3;2;4;3;2;3;2
FEhs22;3;3;4;3;4;3;3;3
FEhs23;4;4;4;4;3;2;3;3
FEhs24;4;4;4;4;4;4;3;4
FEhs25;4;3;4;4;3;4;3;4
FEhs26;2;2;2;2;2;2;2;2
FEhs27;3;2;3;3;3;3;3;3
FEhs28;3;3;3;3;3;3;3;4
FEhs29;3;3;3;3;3;3;3;3
FEhs30;3;4;2;3;2;3;3;4
FEhs31;4;3;3;4;3;3;4;3
FEhs32;3;3;3;3;3;3;2;3
FEhs33;4;4;4;3;3;3;3;3
FEhs34;4;4;3;4;3;3;4;3
FEhs35;4;4;3;3;3;2;3;3
FEhs36;3;3;3;3;3;3;3;3
FEhs37;3;3;3;3;3;3;3;4
FEhs38;4;4;4;4;4;4;4;4
FEhs39;4;4;4;4;3;3;3;4
FEhs40;4;4;3;4;3;3;3;4
FEhs41;4;4;4;4;3;3;3;3
FEhs42;4;4;4;4;4;4;4;4
FEhs43;4;4;4;4;4;4;4;4
FEhs44;4;4;4;4;4;4;4;4
FEhs45;3;3;3;2;3;3;2;3
FEhs46;4;4;4;4;4;4;4;4
FEhs47;2;2;2;2;2;2;2;2
FEhs48;4;4;4;4;3;3;4;4
FEhs49;4;4;4;4;4;4;4;4
FEhs50;3;3;3;4;3;3;4;3
FEhs51;4;4;4;4;4;4;4;4
FEhs52;4;3;4;4;4;3;3;4
FEhs53;4;4;4;4;4;4;4;4
FEhs54;4;4;4;4;3;3;4;4
FEhs55;4;4;4;4;4;4;4;4
FEhs56;4;4;4;4;4;4;4;4
FEhs57;4;4;4;4;4;4;4;4
FEhs58;3;3;3;3;3;3;3;3
FEhs59;2;2;3;2;3;2;2;3
FEhs60;4;3;3;4;3;3;3;3
FEhs61;4;4;3;4;3;4;3;3
FEhs62;4;4;4;4;4;4;4;4
FEhs63;3;3;3;4;3;3;3;3
FEhs64;4;4;4;4;4;4;4;4
FEhs65;4;4;4;4;4;4;4;4
FEhs66;4;4;4;4;4;4;4;4
FEhs67;4;4;4;4;4;3;4;4
FEhs68;4;4;4;4;4;4;4;4
FEhs69;4;4;4;4;4;4;4;4
FEhs70;3;3;3;4;3;3;3;3
FEhs71;3;2;3;3;2;3;3;3
FEhs72;3;3;3;3;3;3;3;3
FEhs73;4;3;4;4;3;3;3;3
FEhs74;4;4;4;4;4;3;3;3
FEhs75;4;4;4;4;4;4;4;4
FEhs76;4;4;4;4;4;4;4;4
FEhs77;4;4;4;4;4;3;3;3
FEhs78;4;4;4;4;4;4;4;4
FEhs79;4;4;4;4;4;4;4;4
FEhs80;4;4;4;4;4;4;4;3
SEfs01;4;4;3;4;2;4;3;4
SEfs02;4;4;2;4;2;4;3;4
SEfs03;3;3;2;3;2;2;1;2
SEfs04;4;4;3;4;4;4;4;4
SEfs05;3;4;3;3;4;3;4;4
SEfs06;3;4;3;3;2;2;2;2
SEfs07;2;2;2;2;2;2;2;2
SEfs08;4;2;2;3;4;2;2;4
SEfs09;4;4;3;4;3;3;4;3
SEfs10;3;3;2;4;4;2;3;3
SEfs11;2;3;4;3;4;3;2;3
SEfs12;3;3;3;4;3;2;3;2
SEfs13;4;4;3;2;3;3;3;4
SEfs14;3;3;2;3;2;2;1;2
SEfs15;4;2;2;3;3;3;2;3
SEfs16;3;4;3;2;3;3;3;3
SEfs17;3;3;3;3;2;3;3;2
SEfs18;4;3;2;3;3;2;4;3
SEfs19;3;4;2;4;3;4;4;2
SEfs20;2;4;4;4;4;4;2;4
SEfs21;3;4;4;4;3;3;4;4
SEfs22;4;4;4;4;4;2;4;2
SEfs23;3;2;2;3;2;2;2;2
SEfs24;4;4;3;4;4;3;3;3
SEfs25;4;4;3;4;4;3;3;3
SEfs26;2;4;2;2;3;4;2;3
SEfs27;4;4;2;2;3;4;2;3
SEfs28;4;3;2;3;2;3;2;2
SEfs29;3;4;3;4;4;3;3;2
SEfs30;4;3;3;2;3;4;1;4
SEfs31;1;4;2;3;2;3;2;2
SEfs32;2;3;2;3;3;3;3;2
SEfs33;3;3;3;3;3;3;3;3
SEfs34;4;4;3;4;4;4;4;3
SEfs35;4;4;4;4;4;4;2;1
SEfs36;3;3;2;3;3;3;3;2
SEfs37;4;4;1;4;4;1;1;1
SEfs38;4;4;3;4;3;3;4;3
SEfs39;4;3;3;3;2;3;3;3
SEfs40;4;4;3;3;4;4;2;2
FEfs01;3;3;2;3;2;2;2;3
FEfs02;2;3;3;2;3;2;2;2
FEfs03;2;2;3;3;3;2;2;2
FEfs04;2;3;3;3;2;3;2;2
FEfs05;2;2;2;2;1;2;2;2
FEfs06;2;3;2;3;2;2;2;3
FEfs07;2;2;2;3;2;2;2;3
FEfs08;2;2;2;2;2;2;2;2
FEfs09;4;3;4;2;3;3;3;3
FEfs10;3;3;3;2;3;2;2;3
FEfs11;2;3;1;3;2;2;3;2
FEfs12;3;2;2;2;2;2;2;3
FEfs13;2;2;2;2;2;2;2;2
FEfs14;2;2;3;3;3;2;2;2
FEfs15;3;3;2;4;4;3;3;3
FEfs16;3;3;2;3;2;2;3;4
FEfs17;3;3;3;2;2;2;2;3
FEfs18;3;3;3;3;3;3;3;3
FEfs19;3;3;3;4;3;3;3;3
FEfs20;3;3;3;3;3;3;3;3
FEfs21;2;2;2;2;2;2;2;2
FEfs22;3;3;3;3;2;2;3;3
FEfs23;3;3;3;3;3;3;3;3
FEfs24;3;3;3;3;2;2;3;2
FEfs25;3;3;3;3;3;3;3;3
FEfs26;2;2;2;3;2;2;2;3
FEfs27;3;3;3;3;3;3;3;3
FEfs28;2;3;3;3;2;2;2;3
FEfs29;4;4;3;4;3;3;3;3
FEfs30;3;2;2;3;2;3;2;2
FEfs31;3;3;3;3;3;3;3;3
FEfs32;3;3;3;3;3;3;3;3
FEfs33;3;3;3;3;3;3;3;3
FEfs34;4;3;3;3;3;3;3;3
FEfs35;3;3;3;3;3;3;3;3
FEfs36;2;2;3;3;3;2;3;3
FEfs37;2;2;2;3;2;2;2;2
FEfs38;3;3;3;3;3;3;3;3
FEfs39;3;2;2;2;2;2;2;2
FEfs40;3;3;3;3;2;3;2;3
