;SEhs01;SEhs02;SEhs03;SEhs04;SEhs05;SEhs06;SEhs07;SEhs08;SEhs09;SEhs10;SEhs11;SEhs12;SEhs13;SEhs14;SEhs15;SEhs16;SEhs17;SEhs18;SEhs19;SEhs20;SEhs21;SEhs22;SEhs23;SEhs24;SEhs25;SEhs26;SEhs27;SEhs28;SEhs29;SEhs30;SEhs31;SEhs32;SEhs33;SEhs34;SEhs35;SEhs36;SEhs37;SEhs38;SEhs39;SEhs40;SEhs41;SEhs42;SEhs43;SEhs44;SEhs45;SEhs46;SEhs47;SEhs48;SEhs49;SEhs50;SEhs51;SEhs52;SEhs53;SEhs54;SEhs55;SEhs56;SEhs57;SEhs58;SEhs59;SEhs60;SEhs61;SEhs62;SEhs63;SEhs64;SEhs65;SEhs66;SEhs67;SEhs68;SEhs69;SEhs70;SEhs71;SEhs72;SEhs73;SEhs74;SEhs75;SEhs76;SEhs77;SEhs78;SEhs79;SEhs80;FEhs01;FEhs02;FEhs03;FEhs04;FEhs05;FEhs06;FEhs07;FEhs08;FEhs09;FEhs10;FEhs11;FEhs12;FEhs13;FEhs14;FEhs15;FEhs16;FEhs17;FEhs18;FEhs19;FEhs20;FEhs21;FEhs22;FEhs23;FEhs24;FEhs25;FEhs26;FEhs27;FEhs28;FEhs29;FEhs30;FEhs31;FEhs32;FEhs33;FEhs34;FEhs35;FEhs36;FEhs37;FEhs38;FEhs39;FEhs40;FEhs41;FEhs42;FEhs43;FEhs44;FEhs45;FEhs46;FEhs47;FEhs48;FEhs49;FEhs50;FEhs51;FEhs52;FEhs53;FEhs54;FEhs55;FEhs56;FEhs57;FEhs58;FEhs59;FEhs60;FEhs61;FEhs62;FEhs63;FEhs64;FEhs65;FEhs66;FEhs67;FEhs68;FEhs69;FEhs70;FEhs71;FEhs72;FEhs73;FEhs74;FEhs75;FEhs76;FEhs77;FEhs78;FEhs79;FEhs80;SEfs01;SEfs02;SEfs03;SEfs04;SEfs05;SEfs06;SEfs07;SEfs08;SEfs09;SEfs10;SEfs11;SEfs12;SEfs13;SEfs14;SEfs15;SEfs16;SEfs17;SEfs18;SEfs19;SEfs20;SEfs21;SEfs22;SEfs23;SEfs24;SEfs25;SEfs26;SEfs27;SEfs28;SEfs29;SEfs30;SEfs31;SEfs32;SEfs33;SEfs34;SEfs35;SEfs36;SEfs37;SEfs38;SEfs39;SEfs40;FEfs01;FEfs02;FEfs03;FEfs04;FEfs05;FEfs06;FEfs07;FEfs08;FEfs09;FEfs10;FEfs11;FEfs12;FEfs13;FEfs14;FEfs15;FEfs16;FEfs17;FEfs18;FEfs19;FEfs20;FEfs21;FEfs22;FEfs23;FEfs24;FEfs25;FEfs26;FEfs27;FEfs28;FEfs29;FEfs30;FEfs31;FEfs32;FEfs33;FEfs34;FEfs35;FEfs36;FEfs37;FEfs38;FEfs39;FEfs40
item1;2;2;3;3;3;3;3;2;4;3;3;3;3;3;3;4;3;3;2;4;3;3;3;3;3;3;3;3;4;4;4;2;4;3;4;2;3;3;3;3;3;2;3;2;2;4;2;3;4;3;3;4;2;4;4;4;3;4;4;3;3;4;3;3;3;3;3;4;4;3;3;3;3;3;4;4;3;3;3;3;3;3;3;2;2;3;3;3;2;3;3;3;3;2;2;2;2;4;3;3;3;3;3;4;4;4;3;3;4;4;4;3;4;3;3;3;3;2;4;3;4;4;3;2;3;4;3;4;4;4;4;4;4;4;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;3;3;3;3;3;3;2;4;2;4;4;3;3;3;4;3;3;3;4;4;3;4;4;4;4;4;4;4;3;2;2;2;2;4;4;4;4;4;3;3;3;3;3;3;2;3;2;3;4;3;3;3;2;3;4;2;3;3;4;2;2;2;2;3;2;2;2;2;4;3;2;2;2;3;3;2;2;2;3;4
item2;3;2;3;4;2;2;3;4;2;3;2;4;2;2;4;2;2;3;3;4;2;3;2;3;3;2;2;3;2;3;3;3;3;3;4;3;3;3;2;4;4;2;2;2;3;4;3;2;4;3;2;4;2;2;4;3;3;3;3;4;3;2;3;2;3;2;3;3;3;3;3;3;3;3;3;4;3;3;4;3;2;4;3;1;2;2;2;3;2;3;3;3;3;2;2;2;2;4;2;2;3;3;2;3;4;4;3;3;2;3;3;3;4;3;3;3;3;2;4;3;4;4;2;2;3;4;3;3;4;2;3;3;3;3;4;4;4;3;3;4;4;4;3;4;4;4;4;3;4;3;2;3;4;3;3;4;3;4;3;4;4;3;4;4;3;2;4;3;4;3;3;1;4;4;2;3;2;4;2;2;1;2;2;3;4;3;3;4;4;3;2;2;2;3;2;2;2;3;3;2;3;2;2;3;1;3;2;3;3;3;1;3;2;2;3;2;4;3;3;2;2;3;2;3;2;2;2;2;3;3;2;2;2;3;3;2;2;2;3;3
item3;3;2;3;2;2;2;3;3;1;2;2;2;1;1;3;1;2;3;3;3;2;2;3;3;2;4;4;4;2;4;3;3;2;2;3;2;4;2;3;3;3;2;3;3;2;4;2;3;2;3;2;3;2;3;3;3;3;3;4;3;3;3;2;2;3;2;2;3;3;3;3;3;3;3;3;4;2;1;3;3;2;4;3;2;2;2;2;4;2;3;3;3;3;2;2;2;2;4;2;2;2;2;3;4;4;4;3;3;2;4;3;3;3;2;2;2;3;2;3;4;3;2;2;1;3;4;2;3;4;2;4;3;4;3;3;3;3;3;2;4;3;3;4;4;3;4;3;4;3;4;2;3;4;3;3;4;4;4;4;4;1;4;3;1;4;4;4;4;4;4;4;4;2;3;2;4;2;2;2;4;2;4;2;2;4;3;2;3;2;2;1;3;2;4;4;2;2;3;3;2;3;2;3;2;1;3;2;2;4;2;1;2;2;3;3;2;4;2;3;2;2;2;3;2;2;1;2;2;3;3;2;2;2;3;3;2;1;2;2;3
item4;3;2;3;2;2;2;4;4;1;3;1;4;2;2;3;1;1;4;3;4;2;3;3;3;2;4;4;3;2;3;3;3;3;2;4;2;3;2;3;4;3;2;2;2;2;3;2;4;3;4;2;4;3;2;3;3;3;4;3;4;2;3;2;2;2;3;3;2;2;3;3;4;3;2;4;4;2;2;3;2;2;4;3;1;2;2;2;4;2;3;3;3;3;2;2;2;2;2;2;2;2;3;3;3;4;4;3;4;2;3;3;3;3;2;2;2;4;2;3;4;3;2;2;1;3;4;2;4;4;2;3;3;3;3;4;4;4;3;2;4;3;4;4;4;4;3;4;4;4;3;3;3;4;3;3;3;4;4;4;4;3;1;3;4;4;3;3;4;4;2;2;2;4;3;2;3;2;2;4;4;2;2;3;3;4;4;1;3;3;3;2;4;2;4;4;4;1;4;4;3;2;1;2;2;1;3;2;3;4;3;1;2;3;2;3;2;4;2;3;2;3;2;2;3;2;1;2;1;3;3;2;2;2;3;2;1;2;2;2;3
item5;3;3;3;3;3;3;3;4;4;2;4;3;3;3;4;4;3;4;3;2;3;3;4;4;4;4;4;2;3;4;2;3;2;2;3;3;2;3;3;4;2;1;2;4;3;4;3;4;4;3;4;3;2;2;3;3;3;3;2;3;4;2;1;2;3;3;4;2;3;4;3;3;4;2;4;2;4;2;4;3;2;4;3;2;2;2;2;3;2;3;3;3;3;2;2;2;2;3;2;2;3;3;4;4;4;4;3;3;3;4;2;3;3;2;3;3;3;2;3;3;3;2;2;1;3;3;3;3;4;4;3;3;3;3;4;4;4;3;3;3;4;3;3;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;3;2;4;3;3;4;3;4;4;3;3;3;3;4;2;4;3;2;2;4;3;4;4;4;4;2;4;4;2;2;1;4;2;3;2;4;4;3;4;4;2;2;2;2;2;3;2;3;4;3;2;2;2;2;3;2;3;3;2;2;2;2;3;3;2;2;2;2;3;3;2;2;2;3;3;2;2;2;3;3
item6;3;3;3;2;3;4;3;4;4;4;4;3;3;3;4;4;3;4;3;4;4;2;4;4;3;2;2;4;3;4;4;3;3;3;3;2;4;2;4;4;4;3;3;2;4;3;4;4;4;4;3;4;4;2;3;4;4;4;4;3;1;3;3;3;4;2;2;3;4;3;4;4;3;3;4;4;2;3;4;3;2;3;3;2;2;3;2;3;2;3;3;3;3;2;2;2;2;3;2;3;3;2;4;4;4;4;4;3;3;4;4;3;3;3;4;2;3;3;3;3;3;4;3;2;3;4;3;4;3;3;4;3;4;4;4;4;4;3;3;3;3;4;3;4;4;4;4;3;4;3;3;3;3;3;4;4;3;4;3;4;4;3;2;4;4;3;4;3;4;4;4;4;3;2;3;3;2;4;3;4;4;4;2;4;4;4;4;2;3;2;1;3;2;4;3;2;4;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;2;2;3;2;3;3;2;2;2;2;3;3;3;3;2;2;3
item7;3;3;3;3;4;3;4;4;4;3;4;3;4;4;4;4;3;4;3;4;3;3;4;4;3;3;3;4;4;4;3;4;4;3;3;3;4;3;3;4;4;2;3;2;4;4;3;4;4;4;3;4;3;4;4;4;4;4;4;3;3;4;3;3;4;3;2;3;4;3;4;3;3;3;4;4;4;3;4;3;2;2;3;2;2;3;2;3;2;3;3;3;3;2;2;2;2;3;2;3;3;3;4;4;4;4;4;3;4;4;3;3;3;3;4;3;3;3;3;3;3;3;3;2;3;4;3;4;4;4;4;3;4;3;4;4;4;3;3;3;3;4;3;4;4;4;4;4;4;3;3;3;3;4;4;3;4;4;4;4;4;4;3;4;3;4;4;4;4;4;3;3;3;3;4;3;3;3;3;4;4;4;4;4;4;4;3;4;4;3;3;3;2;4;4;2;4;4;4;4;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;3;2;3;2;3;3;2;2;2;2;3;2;2;3;2;3;3
item8;3;3;3;2;2;2;3;4;2;2;2;4;2;2;3;2;2;3;3;4;2;3;3;4;2;3;3;2;3;3;2;3;2;2;4;3;2;2;3;4;2;3;3;1;2;4;3;3;4;3;2;4;2;2;3;2;3;3;3;4;4;2;3;2;3;2;4;2;3;3;3;3;3;3;4;3;2;2;2;2;2;3;3;1;2;2;2;3;2;2;2;3;3;2;2;2;2;3;2;2;2;3;3;4;3;3;3;3;3;3;2;3;3;2;2;3;3;2;4;3;3;1;1;1;2;4;2;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;4;4;4;4;3;4;3;2;4;3;3;4;3;4;4;4;3;2;3;2;3;3;3;3;3;3;3;3;4;3;2;3;2;3;2;4;3;4;3;3;3;2;2;3;4;1;2;4;2;3;4;4;2;2;3;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;3;1;3;2;2;2;3;2;3;3;2;2;2;2;3;4;2;2;2;3;3;2;2;2;2;3
item9;3;2;3;2;1;2;3;4;3;2;2;3;2;2;3;3;2;3;3;2;1;3;2;2;2;2;2;4;2;4;4;2;1;2;4;2;4;1;2;4;2;2;1;2;3;4;1;1;4;4;3;4;2;1;3;2;3;4;2;3;4;1;4;2;3;2;3;3;2;2;3;2;4;3;2;2;1;2;3;3;2;3;3;1;2;2;2;3;2;2;2;3;3;2;2;2;2;4;2;2;2;3;2;4;4;4;3;3;2;4;4;3;3;2;3;2;3;2;3;4;3;1;1;1;3;4;3;3;4;3;3;3;3;3;3;3;3;4;3;4;3;4;3;4;4;4;4;4;4;4;3;2;4;3;4;4;4;4;4;4;2;4;2;1;3;3;2;2;4;2;2;3;4;2;2;4;2;1;1;4;3;1;3;3;3;2;1;4;2;1;1;2;2;3;2;1;4;2;2;1;2;1;2;3;1;3;2;3;4;2;1;2;2;2;3;2;4;2;3;2;2;2;3;2;2;2;2;2;3;3;2;2;2;3;3;1;1;2;3;4
item10;2;2;3;3;2;2;3;4;3;3;3;3;3;3;3;3;2;2;2;4;4;4;3;4;3;3;3;3;4;3;2;3;2;2;3;3;3;4;3;3;2;2;3;4;3;3;2;3;4;3;3;4;2;4;2;3;3;2;3;2;3;3;3;2;3;2;3;3;3;3;3;3;3;2;3;3;3;3;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;4;3;3;3;3;3;3;4;3;2;3;3;2;2;3;3;2;3;3;3;1;1;1;3;4;3;3;4;3;3;3;3;3;3;3;3;3;2;3;3;4;3;4;4;4;4;4;4;3;3;3;3;3;4;4;3;4;4;4;1;4;3;4;4;2;3;2;4;2;2;3;4;3;3;3;3;2;3;4;2;4;2;3;3;4;1;2;3;2;2;3;2;4;4;4;1;3;3;2;3;2;2;2;2;2;2;2;3;3;2;2;3;2;3;2;3;2;3;2;2;2;2;3;2;1;2;2;3;2;2;2;2;2;2;2;2;2;3;3
item11;2;2;2;2;2;3;2;4;2;3;2;3;2;2;2;2;2;2;2;3;3;3;3;4;3;3;3;3;3;2;2;3;3;3;4;3;3;3;2;3;3;2;4;4;3;4;2;2;4;3;3;4;3;2;4;4;3;4;4;4;3;2;3;3;4;2;4;2;4;3;3;3;3;4;4;4;3;2;3;2;2;3;2;2;2;2;2;3;2;2;2;3;3;2;2;2;2;3;2;2;2;3;3;4;4;4;3;4;3;2;2;3;3;3;3;3;4;2;3;3;3;2;2;2;2;4;3;3;4;3;3;3;3;3;4;4;4;3;2;3;4;4;4;4;4;4;4;4;4;4;2;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;1;3;3;2;3;2;3;1;2;2;2;2;2;3;2;2;3;4;3;3;3;2;2;2;2;2;3;2;2;1;2;1;2;3;2;2;3;1;2;1;3;4;2;2;2;3;2;3;1;4;3;3;2;2;2;2;2;2;1;2;1;3;3;2;2;2;3;3;1;2;2;3;2
item12;3;2;3;3;2;3;3;4;1;3;3;3;3;3;4;1;3;4;3;4;3;3;4;3;3;2;2;3;3;4;3;3;2;2;4;3;3;2;2;4;2;3;2;3;2;3;2;2;4;3;3;4;2;4;3;3;3;4;3;4;4;2;3;3;4;2;4;4;4;3;3;2;3;3;4;3;4;3;4;3;2;3;3;2;2;2;2;2;2;2;2;3;3;2;2;2;2;4;2;3;3;3;4;3;4;4;3;3;3;4;3;3;3;2;3;3;3;3;4;3;3;3;3;2;3;4;3;3;3;3;4;3;4;3;3;4;4;3;3;3;3;3;4;4;4;3;4;4;4;4;3;3;3;4;4;4;4;3;4;4;3;3;2;2;2;3;3;2;3;4;2;3;2;2;1;3;2;2;2;4;3;2;3;3;4;4;2;4;3;3;2;2;2;3;1;3;4;3;3;3;3;3;2;2;2;3;2;3;3;2;2;3;2;2;3;2;3;3;3;2;2;3;2;3;2;2;2;2;3;3;2;2;2;3;3;2;1;2;3;3
item13;2;3;3;2;1;2;3;4;4;2;4;3;3;3;3;4;2;3;2;3;3;2;3;3;2;2;2;3;4;3;3;4;3;2;3;2;3;2;2;3;3;3;2;3;2;3;3;2;4;2;4;4;2;3;3;3;2;2;3;2;3;3;3;2;3;3;3;4;3;3;3;3;3;2;4;3;3;3;4;3;2;3;3;2;2;2;2;2;2;2;3;3;3;2;2;2;2;4;2;2;3;2;3;4;4;4;3;3;4;3;3;4;3;2;3;2;3;1;3;4;3;3;2;1;3;4;3;4;3;4;4;4;4;4;3;3;4;3;2;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;4;4;3;3;2;3;4;3;2;2;3;4;1;4;4;2;2;3;2;2;3;4;3;4;2;3;4;2;4;3;2;4;1;2;2;3;2;2;1;2;3;4;3;3;2;2;1;3;2;3;4;2;2;3;2;2;3;2;3;3;3;2;2;2;2;3;2;1;2;2;3;3;2;2;2;3;3;2;1;2;2;3
item14;3;3;3;2;3;2;3;4;1;3;2;4;2;2;3;1;3;4;3;4;4;3;3;3;2;3;3;3;3;4;3;3;3;3;3;2;3;4;3;3;2;3;3;4;3;4;2;4;3;3;3;4;3;3;2;4;3;3;4;4;3;3;2;1;3;2;4;3;3;4;3;3;3;4;4;4;2;2;3;2;2;3;3;2;3;2;2;2;3;3;2;3;3;3;3;3;3;3;2;2;2;3;3;3;4;3;3;3;3;4;3;3;3;3;4;2;3;3;3;3;3;4;3;3;2;4;3;3;4;3;4;3;4;3;4;3;3;3;3;3;3;4;3;4;4;4;4;4;4;3;3;3;3;3;4;3;4;4;4;4;3;3;3;3;3;4;2;3;4;2;1;3;4;3;1;3;2;2;3;4;2;4;1;4;3;4;2;3;3;1;3;3;2;2;3;3;4;3;3;3;2;3;2;2;2;3;2;2;3;2;1;2;3;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;3
item15;2;3;3;3;2;2;3;3;1;2;3;4;1;1;3;1;2;4;2;3;4;2;3;3;2;2;2;2;3;3;3;4;2;2;4;1;2;1;3;3;2;2;3;4;2;4;2;4;3;3;4;4;2;4;2;4;4;4;4;3;3;3;3;2;3;2;3;2;3;3;3;2;3;3;4;4;3;2;3;2;3;3;3;2;2;2;2;2;2;3;2;3;3;2;2;2;2;3;3;2;2;2;3;4;4;4;3;3;3;3;3;4;3;2;2;1;3;2;3;3;3;2;1;1;2;4;3;4;4;3;3;4;3;4;3;4;4;4;2;3;3;3;3;4;3;4;3;4;4;4;2;2;4;4;4;4;4;4;4;4;3;3;4;3;4;2;4;2;4;4;4;2;3;4;2;2;3;2;3;4;3;4;2;4;3;4;4;2;3;2;3;2;2;4;1;3;3;3;3;2;3;2;3;2;1;2;2;3;3;2;2;2;2;3;3;1;3;3;2;2;3;2;2;3;2;2;2;2;3;3;2;2;2;3;3;1;1;2;2;3
item16;3;3;3;3;2;3;2;4;2;4;2;3;3;3;3;2;4;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;2;4;3;2;2;2;3;3;3;3;2;3;2;4;3;2;3;2;3;4;3;2;2;2;2;2;3;2;3;3;4;3;3;4;3;3;3;3;3;2;3;3;2;3;3;2;2;2;2;3;2;3;3;3;3;2;2;2;2;4;2;2;2;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;2;2;3;4;3;4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;3;4;4;2;2;4;4;4;2;2;1;3;4;1;3;2;4;4;4;2;3;3;4;4;1;3;2;4;2;4;2;3;3;1;4;3;3;4;2;3;3;2;1;3;3;3;3;3;3;3;3;3;3;2;4;3;4;2;3;3;2;3;2;1;2;2;4;3;2;2;2;3;3;2;2;2;2;3
